Field,Value,Neg,Pos,Total,Ratio
device_ip,fca63c1c,47,3,50,0.06
device_ip,1d88373f,49,1,50,0.02
device_ip,2efc87cc,46,4,50,0.08
device_ip,96cf6d85,39,11,50,0.22
site_domain,d545e969,43,7,50,0.14
device_ip,d3e067b8,49,1,50,0.02
device_ip,bea3603b,47,3,50,0.06
device_ip,267ce955,50,0,50,0.0
device_id,bdfc2a23,45,5,50,0.1
device_ip,0ab9130b,45,5,50,0.1
device_ip,ea3cac11,50,0,50,0.0
device_id,bb48c88d,47,3,50,0.06
device_ip,ae37cff4,49,1,50,0.02
device_ip,3e826d86,30,20,50,0.4
device_id,a8af36a4,34,16,50,0.32
device_ip,f492efd7,48,2,50,0.04
device_ip,e8cb68ec,34,16,50,0.32
device_ip,30e6b306,50,0,50,0.0
device_ip,ffc438e2,48,2,50,0.04
device_ip,96a9f6da,40,10,50,0.2
device_ip,e928d40d,48,2,50,0.04
device_ip,ae0e3792,27,23,50,0.46
device_ip,7d6515e4,49,1,50,0.02
device_id,dc516c4f,42,8,50,0.16
app_id,3272d73f,50,0,50,0.0
device_ip,63a60595,50,0,50,0.0
device_ip,bc557ef9,24,26,50,0.52
device_ip,36893756,46,4,50,0.08
device_id,3703c089,50,0,50,0.0
device_ip,b0f1500b,39,11,50,0.22
device_model,08892435,42,8,50,0.16
device_id,e328c225,47,3,50,0.06
device_ip,3a833202,39,11,50,0.22
device_id,f2134d04,35,15,50,0.3
device_ip,38c2421f,40,10,50,0.2
device_ip,72c9f302,41,9,50,0.18
device_ip,1690a55f,48,2,50,0.04
device_id,788f03cc,50,0,50,0.0
device_ip,f85cdf1d,39,11,50,0.22
device_ip,82d35636,42,8,50,0.16
device_ip,0c808e90,31,19,50,0.38
device_ip,ab3a3ebd,50,0,50,0.0
device_ip,8ed3893d,50,0,50,0.0
device_ip,80dcb076,50,0,50,0.0
device_id,15be1c52,46,4,50,0.08
device_ip,9678088f,30,20,50,0.4
device_id,d614f4e1,50,0,50,0.0
device_ip,6f75959b,38,12,50,0.24
device_ip,90ecfa3f,48,2,50,0.04
device_ip,d7f73315,45,5,50,0.1
device_ip,f85a6a2a,45,5,50,0.1
device_ip,597e8392,37,13,50,0.26
device_ip,33c0650c,46,4,50,0.08
device_ip,53399c34,39,11,50,0.22
device_ip,ce2c4206,43,7,50,0.14
device_ip,6531b11c,41,9,50,0.18
device_id,2b50db49,44,6,50,0.12
device_ip,9b5234bb,36,14,50,0.28
device_ip,f76de028,50,0,50,0.0
device_ip,f74c2006,49,1,50,0.02
device_ip,6d4f296c,38,12,50,0.24
device_ip,a5d03a85,49,1,50,0.02
device_ip,b9e71d77,50,0,50,0.0
device_ip,3cff584e,49,1,50,0.02
device_ip,104c4433,49,1,50,0.02
device_ip,7bf35131,40,10,50,0.2
device_ip,a0ef4b45,49,1,50,0.02
device_ip,1c88c4ec,50,0,50,0.0
device_ip,464490a4,48,2,50,0.04
device_ip,1ee2e65e,45,5,50,0.1
device_ip,11bd4895,48,2,50,0.04
device_ip,ff283a3b,41,9,50,0.18
device_ip,014d7e06,41,9,50,0.18
device_ip,c195f517,29,21,50,0.42
device_ip,3069d760,50,0,50,0.0
device_ip,0d3ea512,50,0,50,0.0
device_ip,cd29e3d3,44,6,50,0.12
device_ip,0f54bc84,48,2,50,0.04
device_ip,c01c1ac6,50,0,50,0.0
device_ip,da1e1161,50,0,50,0.0
device_ip,d17c7899,49,1,50,0.02
device_ip,581735f7,50,0,50,0.0
device_id,38cf0f1f,50,0,50,0.0
device_id,0c9e57c1,47,3,50,0.06
device_id,13655ec4,49,1,50,0.02
device_ip,c67e47a0,47,3,50,0.06
device_ip,2d7bc71a,43,7,50,0.14
site_domain,62cb8e5a,22,28,50,0.56
device_ip,08e32750,42,8,50,0.16
device_ip,729a19d8,50,0,50,0.0
device_ip,ad2983a7,47,3,50,0.06
device_ip,275c0499,18,32,50,0.64
device_ip,86e455e1,44,6,50,0.12
device_ip,24bdaefa,47,3,50,0.06
device_ip,93a15227,50,0,50,0.0
device_ip,a22a3708,47,3,50,0.06
device_id,6dbffd63,43,7,50,0.14
device_id,b724622d,47,3,50,0.06
device_ip,424757a5,49,1,50,0.02
device_id,e2f2f563,44,6,50,0.12
device_id,83a4a808,50,0,50,0.0
device_ip,32f84b03,24,26,50,0.52
device_ip,f06eb1e0,42,8,50,0.16
device_id,9ca413f3,50,0,50,0.0
device_ip,fd7d70c0,41,9,50,0.18
device_ip,8dddc947,42,8,50,0.16
device_ip,fea7ef81,36,14,50,0.28
device_ip,bae56d6a,48,2,50,0.04
device_ip,319dee91,50,0,50,0.0
device_ip,ef84b1d7,43,7,50,0.14
device_ip,372fe6b2,50,0,50,0.0
device_ip,aae7063d,50,0,50,0.0
device_ip,71ae8b1b,44,6,50,0.12
device_id,34b59aa8,48,2,50,0.04
device_ip,bdf01841,46,4,50,0.08
app_id,dca03ea7,47,3,50,0.06
device_ip,f8d96098,50,0,50,0.0
device_id,4d5dde86,43,7,50,0.14
device_ip,949f8c14,44,6,50,0.12
device_ip,ed6166c8,50,0,50,0.0
device_ip,078c839b,48,2,50,0.04
device_ip,13d35030,31,19,50,0.38
device_ip,562fcc56,48,2,50,0.04
device_id,4d3e0e03,42,8,50,0.16
device_ip,bb4ceaa5,43,7,50,0.14
device_id,3d1a746e,49,1,50,0.02
device_ip,7995f89a,50,0,50,0.0
device_id,de446b7c,47,3,50,0.06
device_ip,5dbe9876,50,0,50,0.0
device_ip,ca240045,50,0,50,0.0
device_ip,2ecb083a,47,3,50,0.06
device_ip,0fc3a585,42,8,50,0.16
device_ip,f386c981,48,2,50,0.04
device_ip,19d65c9f,46,4,50,0.08
device_ip,91e6b01a,32,18,50,0.36
device_ip,c1fe9774,37,13,50,0.26
device_ip,1bb379bc,40,10,50,0.2
device_ip,3634e0b7,44,6,50,0.12
device_ip,fbe6c1c5,50,0,50,0.0
device_ip,93991b94,50,0,50,0.0
device_ip,08ca23ca,49,1,50,0.02
site_id,961ed9b9,41,9,50,0.18
device_ip,3abff774,42,8,50,0.16
device_ip,a7557346,30,20,50,0.4
device_ip,a77bb93f,42,8,50,0.16
device_ip,6bcb7293,33,17,50,0.34
device_ip,0a2dadc3,43,7,50,0.14
device_ip,bd4345a3,48,2,50,0.04
device_ip,ee039be4,49,1,50,0.02
device_ip,c51b5810,49,1,50,0.02
device_ip,aa5c8afe,49,1,50,0.02
device_ip,385aad4d,50,0,50,0.0
device_id,c80c3bab,48,2,50,0.04
device_ip,d143dcc0,38,12,50,0.24
device_ip,1e35d89f,49,1,50,0.02
device_ip,5ef58f40,40,10,50,0.2
device_ip,f150252d,41,9,50,0.18
device_ip,baeba2e8,48,2,50,0.04
device_ip,94f59115,40,10,50,0.2
device_ip,640d6e22,45,5,50,0.1
device_ip,179e5425,38,12,50,0.24
device_ip,dcc3eb6b,49,1,50,0.02
device_ip,c4554178,39,11,50,0.22
device_ip,b9668a0b,45,5,50,0.1
device_ip,0c58cd2a,43,7,50,0.14
app_id,7b6823f7,49,1,50,0.02
device_ip,444f8738,50,0,50,0.0
device_ip,8d6ddc6d,43,7,50,0.14
device_ip,cad92722,48,2,50,0.04
device_ip,2f2186f1,45,5,50,0.1
device_ip,2b7c0b57,38,12,50,0.24
app_id,18db4834,43,7,50,0.14
device_ip,21bf17f2,49,1,50,0.02
device_id,fc0cfaab,43,7,50,0.14
device_id,f818e12d,46,4,50,0.08
device_ip,36f01c91,45,5,50,0.1
device_ip,f807828e,50,0,50,0.0
device_ip,bf8d7b71,49,1,50,0.02
device_ip,f147b1c9,49,1,50,0.02
device_ip,2cfc5c09,50,0,50,0.0
device_ip,753ee0f1,50,0,50,0.0
device_ip,539a8253,27,23,50,0.46
device_id,4f3db6d9,44,6,50,0.12
device_model,63855852,33,17,50,0.34
device_ip,b212a437,48,2,50,0.04
device_ip,d592e89f,45,5,50,0.1
device_ip,abc1143a,49,1,50,0.02
device_ip,05161a9e,45,5,50,0.1
device_ip,b6ef44b2,49,1,50,0.02
device_ip,8f128067,39,11,50,0.22
device_id,c44a472c,50,0,50,0.0
device_ip,27a6fdfd,41,9,50,0.18
device_ip,79c62069,36,14,50,0.28
device_ip,cbd1314a,48,2,50,0.04
device_ip,24b709ab,36,14,50,0.28
device_id,a0c18e7e,50,0,50,0.0
device_ip,f193fdf7,48,2,50,0.04
device_ip,0ce6e260,38,12,50,0.24
device_id,809fe060,50,0,50,0.0
device_ip,a2ec9852,48,2,50,0.04
device_ip,91aa4f45,45,5,50,0.1
device_ip,6ed3cd81,36,14,50,0.28
device_model,598bacc9,50,0,50,0.0
device_ip,346e6b63,49,1,50,0.02
device_ip,02c61fed,50,0,50,0.0
device_ip,79af77fb,38,12,50,0.24
device_ip,9ac9f936,50,0,50,0.0
device_ip,483cfc6b,34,16,50,0.32
device_id,7367fa01,45,5,50,0.1
device_ip,c8224c13,45,5,50,0.1
device_ip,a7545949,35,15,50,0.3
device_ip,9118c06e,50,0,50,0.0
site_domain,8510cccc,44,6,50,0.12
device_ip,7e4ad630,49,1,50,0.02
device_ip,58971e81,45,5,50,0.1
device_ip,48918791,39,11,50,0.22
device_ip,1a69e823,47,3,50,0.06
device_ip,486d9627,47,3,50,0.06
app_id,c6a1d73a,50,0,50,0.0
device_id,dece3cac,47,3,50,0.06
device_ip,bad31499,49,1,50,0.02
device_ip,21578970,50,0,50,0.0
device_ip,caad7534,37,13,50,0.26
device_ip,89a268ee,50,0,50,0.0
device_ip,9a571780,50,0,50,0.0
device_ip,4533f5c1,50,0,50,0.0
device_ip,d48af247,50,0,50,0.0
device_ip,d2058e06,50,0,50,0.0
device_id,f6cb08c3,45,5,50,0.1
device_ip,e18e7b15,31,19,50,0.38
device_ip,01b45047,43,7,50,0.14
device_ip,0ad653b6,42,8,50,0.16
device_ip,0ffe28a7,45,5,50,0.1
device_ip,b00cb418,48,2,50,0.04
device_ip,401cfc78,50,0,50,0.0
device_ip,696bad6e,33,17,50,0.34
device_ip,f515d402,50,0,50,0.0
device_ip,53ddeac0,41,9,50,0.18
device_ip,09b58ddf,49,1,50,0.02
device_ip,63e2262c,50,0,50,0.0
site_domain,4cb46b7c,50,0,50,0.0
device_ip,5d41c56f,50,0,50,0.0
app_id,c27a5f31,45,5,50,0.1
device_ip,a40ce835,50,0,50,0.0
device_ip,4bab5673,40,10,50,0.2
device_ip,3a4e925f,42,8,50,0.16
device_ip,8fc289e2,50,0,50,0.0
device_ip,8ce00e7e,50,0,50,0.0
device_ip,8f534692,44,6,50,0.12
device_ip,c5b6dd33,50,0,50,0.0
device_ip,c97c85fc,43,7,50,0.14
device_ip,141e5b93,50,0,50,0.0
device_ip,c7f4c6c2,45,5,50,0.1
device_id,eb0e3aa4,45,5,50,0.1
device_ip,c81942fd,50,0,50,0.0
device_ip,b92b788a,39,11,50,0.22
device_ip,cd20533a,48,2,50,0.04
device_id,041f0f8a,50,0,50,0.0
device_ip,d028ea93,38,12,50,0.24
device_ip,fd75d936,36,14,50,0.28
device_ip,c57b9982,42,8,50,0.16
device_ip,1c2c7fb9,44,6,50,0.12
device_ip,b2ea70f2,33,17,50,0.34
device_ip,2b259408,46,4,50,0.08
device_ip,f0e482c6,46,4,50,0.08
device_ip,f9700f92,50,0,50,0.0
device_ip,bcde3ef4,43,7,50,0.14
device_id,a949cce6,48,2,50,0.04
device_ip,a495a62b,40,10,50,0.2
device_ip,0bd75a53,49,1,50,0.02
device_ip,4d375f69,41,9,50,0.18
app_id,16320fc8,44,6,50,0.12
device_ip,deb2b2b2,47,3,50,0.06
device_ip,c791b94a,37,13,50,0.26
device_ip,9b223b35,45,5,50,0.1
device_ip,611f2682,40,10,50,0.2
device_id,6246b515,50,0,50,0.0
device_ip,ba0a2773,31,19,50,0.38
device_ip,7a4b4d92,49,1,50,0.02
device_ip,5f02ab6e,40,10,50,0.2
device_id,18442464,50,0,50,0.0
device_ip,065fb940,50,0,50,0.0
device_ip,3b991f97,50,0,50,0.0
device_ip,18f57d54,42,8,50,0.16
device_ip,6fbb40ac,50,0,50,0.0
device_ip,33063dd0,46,4,50,0.08
device_ip,2cff0ece,47,3,50,0.06
device_ip,91a1076e,48,2,50,0.04
site_id,4667ed40,46,4,50,0.08
device_id,d990b1f1,48,2,50,0.04
device_id,6ba0c5f2,31,19,50,0.38
device_ip,f3a4e9f2,41,9,50,0.18
device_ip,8b332aed,49,1,50,0.02
device_ip,5b9c76ba,46,4,50,0.08
device_ip,3a15bae4,39,11,50,0.22
device_ip,02ac0fbf,50,0,50,0.0
device_ip,bdca793e,49,1,50,0.02
device_ip,a0e4f59a,48,2,50,0.04
device_ip,b816acbe,50,0,50,0.0
device_ip,abfb4b58,49,1,50,0.02
device_ip,ef452ccf,48,2,50,0.04
app_id,2046d6c9,43,7,50,0.14
device_ip,37a817f3,50,0,50,0.0
device_ip,84505d2e,33,17,50,0.34
device_ip,697ed15d,37,13,50,0.26
device_ip,f4501039,48,2,50,0.04
device_ip,52425cf2,50,0,50,0.0
device_id,a300f0d4,50,0,50,0.0
device_ip,deafdfc1,50,0,50,0.0
device_ip,6f147c7a,49,1,50,0.02
device_ip,edcc844a,47,3,50,0.06
device_ip,42377716,41,9,50,0.18
device_ip,41248701,41,9,50,0.18
device_ip,974a2d63,42,8,50,0.16
device_ip,c27c615c,50,0,50,0.0
device_id,77e5f7b8,42,8,50,0.16
device_ip,abad1c96,50,0,50,0.0
device_ip,ffca7a59,49,1,50,0.02
device_ip,652119d3,50,0,50,0.0
device_ip,92a36205,47,3,50,0.06
device_ip,458b32c4,48,2,50,0.04
device_id,2d28b7a0,5,45,50,0.9
device_id,79c1cd6e,50,0,50,0.0
device_ip,7861e711,49,1,50,0.02
device_ip,e67a1396,47,3,50,0.06
device_ip,63206c88,39,11,50,0.22
device_ip,ee7937ce,50,0,50,0.0
device_ip,1812d2cb,23,27,50,0.54
device_ip,041e047e,42,8,50,0.16
device_ip,831fafcf,45,5,50,0.1
device_ip,4ed6a077,50,0,50,0.0
device_ip,65d19d6b,42,8,50,0.16
device_id,0f27fdef,50,0,50,0.0
device_id,110bd62b,50,0,50,0.0
device_ip,51693045,40,10,50,0.2
device_ip,afab32c3,39,11,50,0.22
device_ip,7bf0a90c,42,8,50,0.16
device_ip,8ec3a55b,40,10,50,0.2
device_ip,026a3da6,44,6,50,0.12
device_id,edcbe1b1,50,0,50,0.0
device_ip,d683bcbf,36,14,50,0.28
device_ip,4590fe24,38,12,50,0.24
device_ip,74942ecb,50,0,50,0.0
device_ip,0ba00bef,40,10,50,0.2
device_id,0e3f12d4,33,17,50,0.34
device_ip,f7166ef0,50,0,50,0.0
device_ip,bab1611c,50,0,50,0.0
device_ip,a5c65832,50,0,50,0.0
device_ip,f652599f,50,0,50,0.0
device_ip,bcae2e51,50,0,50,0.0
device_ip,1ace1390,42,8,50,0.16
device_ip,549e336c,41,9,50,0.18
device_id,21c8a72d,43,7,50,0.14
device_ip,559cfd45,50,0,50,0.0
device_ip,64227713,41,9,50,0.18
device_id,0f71c174,46,4,50,0.08
device_ip,05e946b2,45,5,50,0.1
device_ip,ae0da014,40,10,50,0.2
device_ip,03685d5d,47,3,50,0.06
device_ip,a2d5e2e9,40,10,50,0.2
device_id,0e27aab7,50,0,50,0.0
device_ip,d652ea23,49,1,50,0.02
device_ip,b29f4c95,50,0,50,0.0
device_ip,35f34b67,34,16,50,0.32
device_ip,ad71d194,45,5,50,0.1
device_ip,6d92bb7d,40,10,50,0.2
device_ip,c2345de0,49,1,50,0.02
device_ip,36508607,50,0,50,0.0
device_ip,c5d6abda,47,3,50,0.06
device_ip,813f9d20,32,18,50,0.36
device_ip,ccf547b1,49,1,50,0.02
device_ip,dbb75678,42,8,50,0.16
device_ip,aa60d820,49,1,50,0.02
device_id,c57f4daf,47,3,50,0.06
device_ip,cb2d9a25,50,0,50,0.0
device_id,65b907c8,50,0,50,0.0
device_ip,01862ca5,50,0,50,0.0
device_ip,55873957,50,0,50,0.0
site_id,0460be96,24,26,50,0.52
device_ip,96cc375b,34,16,50,0.32
device_ip,4f237ecc,50,0,50,0.0
site_id,cd4909d0,34,16,50,0.32
device_ip,dab90e74,43,7,50,0.14
device_ip,134a19ec,49,1,50,0.02
device_ip,17032c8f,50,0,50,0.0
device_ip,1592395f,45,5,50,0.1
device_ip,edf08f0f,44,6,50,0.12
device_ip,5e98ba73,48,2,50,0.04
device_ip,7180d6ee,36,14,50,0.28
device_ip,9173d55b,50,0,50,0.0
device_ip,9b5f7a87,50,0,50,0.0
device_ip,4e05cfbb,46,4,50,0.08
device_ip,284b6b01,39,11,50,0.22
device_id,2ef1eee2,41,9,50,0.18
device_ip,72390b02,50,0,50,0.0
device_ip,98151418,48,2,50,0.04
device_ip,f0ede4e7,48,2,50,0.04
site_domain,8dc9fc5c,34,16,50,0.32
device_ip,5c4aa45c,41,9,50,0.18
device_ip,267e095b,39,11,50,0.22
device_ip,6f03a761,43,7,50,0.14
device_ip,780bb97e,50,0,50,0.0
device_ip,d0e02e55,44,6,50,0.12
device_ip,bfc887c7,40,10,50,0.2
device_ip,c491d2a6,50,0,50,0.0
device_ip,d48099dc,50,0,50,0.0
device_ip,d43b5a80,48,2,50,0.04
device_ip,fb1f3971,44,6,50,0.12
device_ip,7052bbec,48,2,50,0.04
device_id,5ba077b9,43,7,50,0.14
device_ip,e5738fed,33,17,50,0.34
device_ip,4f380e47,33,17,50,0.34
device_ip,094c831b,39,11,50,0.22
device_ip,2fa18476,43,7,50,0.14
device_ip,357a15ca,49,1,50,0.02
device_ip,2d3f65e7,37,13,50,0.26
device_ip,e625194c,35,15,50,0.3
device_ip,bd1a7b79,50,0,50,0.0
device_ip,9c23ce7d,45,5,50,0.1
device_ip,74a4351f,48,2,50,0.04
device_ip,df6fbcbf,35,15,50,0.3
device_ip,d35f2620,50,0,50,0.0
device_id,21f5c79c,48,2,50,0.04
device_ip,39b072b1,44,6,50,0.12
device_ip,7c909b79,43,7,50,0.14
device_ip,c8349296,45,5,50,0.1
device_ip,7e037c75,49,1,50,0.02
device_ip,79259c81,30,20,50,0.4
device_ip,79161595,43,7,50,0.14
device_ip,e4248cc6,50,0,50,0.0
device_ip,e0c12b4e,40,10,50,0.2
device_ip,86ff3c73,45,5,50,0.1
device_ip,75d745c6,43,7,50,0.14
device_ip,677cf4e9,50,0,50,0.0
device_ip,4dc76563,50,0,50,0.0
device_id,a5c4d094,50,0,50,0.0
device_ip,50af7a34,49,1,50,0.02
device_ip,cbe8f085,40,10,50,0.2
site_id,b0c5af47,18,32,50,0.64
device_ip,7b47d8b8,43,7,50,0.14
device_id,77a26ec9,26,24,50,0.48
device_ip,e875031a,43,7,50,0.14
device_ip,8dcfe090,50,0,50,0.0
app_id,9ead35b1,44,6,50,0.12
site_id,9a4ca560,42,8,50,0.16
device_ip,37b379bb,45,5,50,0.1
device_ip,5e68edf8,39,11,50,0.22
device_id,6fa6ef69,50,0,50,0.0
device_ip,ace35572,42,8,50,0.16
device_ip,ee5af1b0,48,2,50,0.04
device_id,1103c9c6,50,0,50,0.0
device_ip,1388834c,50,0,50,0.0
device_ip,66f27c46,46,4,50,0.08
device_id,7b331710,44,6,50,0.12
device_ip,fbe9c79c,37,13,50,0.26
device_id,848bac2b,49,1,50,0.02
device_id,3369ee6e,37,13,50,0.26
device_ip,a0454fb2,31,19,50,0.38
device_id,2af4a778,47,3,50,0.06
device_ip,b2f9e634,46,4,50,0.08
device_ip,1e2cde23,38,12,50,0.24
device_ip,7ea4c5eb,48,2,50,0.04
device_ip,f0d6b89a,50,0,50,0.0
device_ip,972545be,38,12,50,0.24
device_ip,adc9201f,35,15,50,0.3
device_ip,ecd96e5a,40,10,50,0.2
device_id,710abfa8,20,30,50,0.6
device_ip,1b64c542,48,2,50,0.04
device_ip,15439182,48,2,50,0.04
device_model,84b353f1,45,5,50,0.1
device_ip,ce85671d,50,0,50,0.0
device_ip,534e35f3,35,15,50,0.3
device_id,7566f8dd,49,1,50,0.02
device_ip,4a502b16,36,14,50,0.28
device_ip,73a1b51e,43,7,50,0.14
device_id,f432c62f,50,0,50,0.0
device_ip,41cf819e,48,2,50,0.04
device_ip,915d3aaa,38,12,50,0.24
device_ip,c4456d1b,43,7,50,0.14
device_ip,7c810a7a,48,2,50,0.04
device_ip,53dbb838,48,2,50,0.04
device_ip,10fafc65,47,3,50,0.06
device_ip,3097a426,40,10,50,0.2
device_ip,36551f83,49,1,50,0.02
device_ip,baea02e7,49,1,50,0.02
device_ip,66b7b40d,44,6,50,0.12
device_ip,9e0dcbd1,49,1,50,0.02
device_id,ae58dbf9,50,0,50,0.0
device_ip,d1527a6b,43,7,50,0.14
device_id,40701c74,45,5,50,0.1
device_ip,b9b261d8,47,3,50,0.06
device_ip,c11b3e3d,49,1,50,0.02
device_ip,dc33ab06,49,1,50,0.02
device_ip,8f61259e,46,4,50,0.08
device_ip,747ee52c,36,14,50,0.28
device_ip,165ca39d,30,20,50,0.4
device_ip,bfaf3331,46,4,50,0.08
device_ip,959c18ae,46,4,50,0.08
device_id,a161cf16,38,12,50,0.24
device_ip,cccc5a24,46,4,50,0.08
device_id,4b985108,38,12,50,0.24
device_ip,3c4f4ea2,48,2,50,0.04
device_ip,4db80805,49,1,50,0.02
device_ip,dbdb124e,43,7,50,0.14
device_ip,1bd8f49a,49,1,50,0.02
device_ip,414cc209,39,11,50,0.22
device_ip,8f258060,43,7,50,0.14
device_ip,895f40cc,40,10,50,0.2
device_id,575e8fde,45,5,50,0.1
device_ip,faea488f,41,9,50,0.18
device_id,f1a2faf3,50,0,50,0.0
device_ip,30bf047c,50,0,50,0.0
device_ip,0834dc64,36,14,50,0.28
device_ip,8276aae7,49,1,50,0.02
device_ip,efa26036,50,0,50,0.0
device_id,0a14491e,43,7,50,0.14
device_id,5c45fba5,40,10,50,0.2
device_ip,db4b2a33,48,2,50,0.04
device_ip,cd4ab6b2,49,1,50,0.02
device_ip,278c57d4,38,12,50,0.24
device_ip,ef4179c8,46,4,50,0.08
device_ip,6b695f03,34,16,50,0.32
device_ip,647df0c6,26,24,50,0.48
device_ip,aaaeb28c,42,8,50,0.16
device_ip,983b3a1b,46,4,50,0.08
device_ip,19d25921,45,5,50,0.1
device_ip,4482175a,43,7,50,0.14
device_ip,de73852a,42,8,50,0.16
device_ip,5ed7dd01,43,7,50,0.14
device_ip,e1f3efe2,34,16,50,0.32
